user_id,signup_date,city_tier,acquisition_channel
137,2024-02-11,Tier 3,Referral
138,2024-06-27,Tier 1,Influencer
139,2024-03-03,Tier 3,Google Ads
140,2024-12-17,Tier 2,Influencer
141,2024-08-18,Tier 2,Referral
142,2024-08-28,Tier 1,Referral
143,2024-02-21,Tier 2,Organic
144,2024-04-05,Tier 2,Google Ads
145,2024-08-09,Tier 2,Referral
146,2024-08-18,Tier 2,Referral
147,2024-08-24,Tier 2,Influencer
148,2024-05-22,Tier 2,Influencer
149,2024-06-19,Tier 1,Influencer
150,2024-01-29,Tier 3,Referral
151,2024-02-05,Tier 2,Influencer
152,2024-01-13,Tier 1,Influencer
153,2024-06-08,Tier 1,Organic
154,2024-11-22,Tier 2,Google Ads
155,2024-07-05,Tier 3,Organic
156,2024-08-30,Tier 2,Organic
157,2024-03-26,Tier 2,Organic
158,2024-10-10,Tier 1,Organic
159,2024-03-06,Tier 2,Referral
160,2024-06-18,Tier 3,Google Ads
161,2024-02-14,Tier 3,Google Ads
162,2024-03-02,Tier 1,Influencer
163,2024-05-13,Tier 2,Influencer
164,2024-10-10,Tier 1,Influencer
165,2024-01-28,Tier 2,Referral
166,2024-04-17,Tier 3,Google Ads
167,2024-02-13,Tier 3,Google Ads
168,2024-12-05,Tier 1,Organic
169,2024-10-12,Tier 3,Organic
170,2024-11-26,Tier 2,Google Ads
171,2024-05-07,Tier 2,Influencer
172,2024-12-13,Tier 2,Organic
173,2024-08-18,Tier 2,Organic
174,2024-07-08,Tier 2,Organic
175,2024-08-12,Tier 2,Referral
176,2024-10-09,Tier 2,Google Ads
177,2024-04-30,Tier 1,Google Ads
178,2024-04-25,Tier 3,Organic
179,2024-08-20,Tier 2,Google Ads
180,2024-09-15,Tier 1,Organic
181,2024-12-24,Tier 3,Google Ads
182,2024-07-16,Tier 3,Organic
183,2024-05-16,Tier 3,Influencer
184,2024-11-13,Tier 2,Referral
185,2024-06-13,Tier 1,Referral
186,2024-08-12,Tier 2,Google Ads
187,2024-11-02,Tier 1,Google Ads
188,2024-08-21,Tier 3,
189,2024-06-20,Tier 1,Google Ads
190,2024-05-31,Tier 1,Google Ads
191,2024-11-10,Tier 2,Google Ads
192,2024-06-08,Tier 2,Referral
193,2024-04-05,Tier 3,Influencer
194,2024-08-20,Tier 2,Influencer
195,2024-06-28,Tier 1,Organic
196,2024-04-22,Tier 1,Referral
197,2024-11-13,Tier 2,Organic
198,2024-02-21,Tier 1,Referral
199,2024-09-24,Tier 2,Google Ads
200,2024-10-21,Tier 2,Organic
201,2024-04-22,Tier 2,Influencer
202,2024-04-10,Tier 3,Referral
203,2024-04-22,Tier 3,Google Ads
204,2024-03-21,Tier 3,Organic
205,2024-07-05,Tier 1,Google Ads
206,2024-04-22,Tier 1,Influencer
207,2024-01-02,Tier 1,Referral
208,2024-05-09,Tier 3,Influencer
209,2024-08-07,Tier 3,
210,2024-02-23,Tier 3,Referral
211,2024-12-08,Tier 1,Influencer
212,2024-08-11,Tier 3,Google Ads
213,2024-08-12,Tier 2,Organic
214,2024-05-05,Tier 1,Referral
215,2024-05-09,Tier 2,Referral
216,2024-02-22,Tier 1,Referral
217,2024-06-20,Tier 2,Influencer
218,2024-08-05,Tier 1,Influencer
219,2024-06-08,Tier 2,Referral
220,2024-07-16,Tier 2,Organic
221,2024-09-03,Tier 3,Google Ads
222,2024-11-19,Tier 2,Influencer
223,2024-07-21,Tier 2,Influencer
224,2024-07-02,Tier 3,
225,2024-05-02,Tier 3,Google Ads
226,2024-09-11,Tier 1,Google Ads
227,2024-10-20,Tier 2,Organic
228,2024-10-06,Tier 1,Google Ads
229,2024-11-20,Tier 1,Referral
230,2024-04-07,Tier 2,Organic
231,2024-07-16,Tier 3,Influencer
232,2024-08-27,Tier 1,Influencer
233,2024-05-23,Tier 3,Influencer
234,2024-04-06,Tier 3,Organic
235,2024-07-19,Tier 3,Referral
236,2024-05-03,Tier 1,Google Ads
237,2024-07-05,Tier 3,Google Ads
238,2024-11-21,Tier 1,Referral
239,2024-12-14,Tier 2,Influencer
240,2024-09-15,Tier 1,Organic
241,2024-05-27,Tier 1,Influencer
242,2024-09-08,Tier 2,Influencer
243,2024-12-11,Tier 2,Influencer
244,2024-05-26,Tier 1,Influencer
245,2024-05-27,Tier 1,Google Ads
246,2024-12-17,Tier 2,Influencer
247,2024-07-17,Tier 1,Google Ads
248,2024-11-03,Tier 3,Influencer
249,2024-05-07,Tier 1,Organic
250,2024-02-08,Tier 1,Organic
251,2024-12-03,Tier 2,Referral
252,2024-12-25,Tier 2,Google Ads
253,2024-05-08,Tier 2,Google Ads
254,2024-09-23,Tier 1,Google Ads
255,2024-05-30,Tier 3,Influencer
256,2024-10-24,Tier 2,Google Ads
257,2024-04-08,Tier 1,
258,2024-09-19,Tier 2,Organic
259,2024-09-08,Tier 3,Google Ads
260,2024-05-23,Tier 1,Google Ads
261,2024-12-11,Tier 1,Referral
262,2024-04-21,Tier 3,Organic
263,2024-02-29,Tier 2,Organic
264,2024-01-02,Tier 2,Google Ads
265,2024-10-30,Tier 1,Google Ads
266,2024-09-10,Tier 1,Google Ads
267,2024-05-19,Tier 2,Influencer
268,2024-02-06,Tier 1,Google Ads
269,2024-06-08,Tier 2,Google Ads
270,2024-01-09,Tier 2,Referral
271,2024-08-20,Tier 1,Organic
272,2024-04-08,Tier 3,Referral
273,2024-05-26,Tier 3,Google Ads
274,2024-10-30,Tier 2,Google Ads
275,2024-07-26,Tier 1,Influencer
276,2024-05-10,Tier 1,Organic
277,2024-05-31,Tier 2,Influencer
278,2024-02-23,Tier 1,Referral
279,2024-04-29,Tier 3,Referral
280,2024-06-09,Tier 1,Influencer
281,2024-04-25,Tier 2,Influencer
282,2024-03-15,Tier 2,Referral
283,2024-04-22,Tier 2,Influencer
284,2024-04-13,Tier 1,Google Ads
285,2024-12-05,Tier 2,Google Ads
286,2024-09-10,Tier 1,Organic
287,2024-08-14,Tier 3,Organic
288,2024-04-21,Tier 1,Influencer
289,2024-04-08,Tier 3,Organic
290,2024-06-01,Tier 3,Organic
291,2024-12-14,Tier 1,Influencer
292,2024-12-31,Tier 3,Organic
293,2024-12-03,Tier 1,Organic
294,2024-07-12,Tier 3,Referral
295,2024-11-05,Tier 2,Referral
296,2024-06-11,Tier 1,Influencer
297,2024-07-26,Tier 2,Google Ads
298,2024-06-17,Tier 1,Google Ads
299,2024-06-09,Tier 3,Referral
300,2024-03-08,Tier 1,Google Ads
301,2024-10-15,Tier 2,Referral
302,2024-10-03,Tier 2,Influencer
303,2024-10-30,Tier 3,Google Ads
304,2024-05-14,Tier 1,Google Ads
305,2024-07-13,Tier 2,Organic
306,2024-05-07,Tier 2,Referral
307,2024-02-02,Tier 2,Organic
308,2024-06-24,Tier 1,Google Ads
309,2024-01-22,Tier 1,Influencer
310,2024-08-25,Tier 1,Google Ads
311,2024-06-06,Tier 2,Organic
312,2024-02-07,Tier 1,Influencer
313,2024-08-17,Tier 2,Organic
314,2024-12-30,Tier 1,Referral
315,2024-02-20,Tier 3,Referral
316,2024-09-20,Tier 3,Organic
317,2024-10-09,Tier 2,Influencer
318,2024-01-27,Tier 2,Organic
319,2024-08-13,Tier 1,Influencer
320,2024-10-03,Tier 1,Organic
321,2024-10-12,Tier 1,Organic
322,2024-04-06,Tier 2,Organic
323,2024-10-10,Tier 2,Organic
324,2024-11-12,Tier 3,Referral
325,2024-10-30,Tier 2,Referral
326,2024-05-26,Tier 2,Influencer
327,2024-01-04,Tier 2,Organic
328,2024-02-04,Tier 2,Google Ads
329,2024-07-10,Tier 1,Referral
330,2024-02-18,Tier 2,Google Ads
331,2024-01-17,Tier 2,Referral
332,2024-06-20,Tier 2,Referral
333,2024-08-07,Tier 3,Organic
334,2024-06-06,Tier 1,Influencer
335,2024-02-15,Tier 1,Referral
336,2024-01-06,Tier 2,Referral
337,2024-04-08,Tier 2,Organic
338,2024-08-20,Tier 1,Organic
339,2024-02-06,Tier 3,Google Ads
340,2024-10-06,Tier 3,Organic
341,2024-12-14,Tier 3,
342,2024-10-28,Tier 1,Influencer
343,2024-06-29,Tier 3,Referral
344,2024-04-04,Tier 2,Referral
345,2024-04-08,Tier 2,Organic
346,2024-07-06,Tier 2,Influencer
347,2024-04-25,Tier 3,Organic
348,2024-07-09,Tier 2,Influencer
349,2024-09-09,Tier 2,Influencer
350,2024-06-09,Tier 2,Referral
351,2024-09-12,Tier 2,Influencer
352,2024-11-18,Tier 1,Referral
353,2024-05-07,Tier 3,Organic
354,2024-01-18,Tier 2,Organic
355,2024-10-07,Tier 2,Google Ads
356,2024-08-10,Tier 1,Organic
357,2024-02-23,Tier 2,Referral
358,2024-02-27,Tier 1,Organic
359,2024-11-18,Tier 1,Influencer
360,2024-12-25,Tier 2,Google Ads
361,2024-06-22,Tier 2,Google Ads
362,2024-10-06,Tier 2,Influencer
363,2024-04-23,Tier 1,Organic
364,2024-10-14,Tier 2,Referral
365,2024-12-07,Tier 1,Influencer
366,2024-05-30,Tier 3,Organic
367,2024-05-06,Tier 2,Google Ads
368,2024-06-03,Tier 2,Google Ads
369,2024-09-29,Tier 1,Influencer
370,2024-04-13,Tier 1,Referral
371,2024-10-25,Tier 3,Google Ads
372,2024-09-02,Tier 1,Influencer
373,2024-06-24,Tier 2,Organic
374,2024-02-08,Tier 2,Influencer
375,2024-06-18,Tier 1,Influencer
376,2024-09-03,Tier 3,Influencer
377,2024-01-26,Tier 2,Influencer
378,2024-12-20,Tier 1,Google Ads
379,2024-11-01,Tier 1,Influencer
380,2024-01-13,Tier 1,
381,2024-11-11,Tier 3,Referral
382,2024-11-08,Tier 2,Organic
383,2024-02-05,Tier 1,Influencer
384,2024-06-21,Tier 1,Referral
385,2024-01-20,Tier 2,Influencer
386,2024-11-16,Tier 2,Organic
387,2024-09-20,Tier 2,Influencer
388,2024-05-21,Tier 2,Influencer
389,2024-05-22,Tier 1,Referral
390,2024-04-01,Tier 2,Organic
391,2024-12-19,Tier 3,Google Ads
392,2024-11-17,Tier 1,Organic
393,2024-10-14,Tier 2,Google Ads
394,2024-08-02,Tier 2,Organic
395,2024-12-07,Tier 2,Google Ads
396,2024-02-20,Tier 1,Organic
397,2024-06-01,Tier 3,Organic
398,2024-07-04,Tier 2,Organic
399,2024-03-03,Tier 2,Influencer
400,2024-07-08,Tier 1,Google Ads
401,2024-05-04,Tier 1,Google Ads
402,2024-05-29,Tier 1,Google Ads
403,2024-11-09,Tier 2,Referral
404,2024-02-27,Tier 1,Influencer
405,2024-12-07,Tier 2,Organic
406,2024-10-31,Tier 2,Organic
407,2024-06-28,Tier 2,Influencer
408,2024-06-18,Tier 2,Google Ads
409,2024-11-21,Tier 2,Organic
410,2024-09-27,Tier 1,Organic
411,2024-02-23,Tier 1,Organic
412,2024-04-10,Tier 2,Influencer
413,2024-09-20,Tier 2,Organic
414,2024-02-22,Tier 1,Influencer
415,2024-02-29,Tier 2,Influencer
416,2024-04-17,Tier 1,Referral
417,2024-01-05,Tier 1,Organic
418,2024-04-12,Tier 1,Organic
419,2024-07-14,Tier 3,Google Ads
420,2024-09-18,Tier 1,Google Ads
421,2024-12-30,Tier 1,Referral
422,2024-12-15,Tier 1,Google Ads
423,2024-02-16,Tier 1,Influencer
424,2024-12-20,Tier 2,Google Ads
425,2024-11-06,Tier 1,Referral
426,2024-11-03,Tier 1,Influencer
427,2024-05-23,Tier 2,Organic
428,2024-09-25,Tier 1,Organic
429,2024-05-03,Tier 2,Organic
430,2024-04-15,Tier 2,Organic
431,2024-06-06,Tier 1,Google Ads
432,2024-05-26,Tier 2,
433,2024-05-24,Tier 1,Google Ads
434,2024-04-29,Tier 2,Influencer
435,2024-11-14,Tier 2,Organic
436,2024-10-01,Tier 1,Google Ads
437,2024-04-01,Tier 2,Organic
438,2024-02-27,Tier 3,Google Ads
439,2024-12-11,Tier 3,Google Ads
440,2024-08-16,Tier 2,Influencer
441,2024-04-26,Tier 2,Google Ads
442,2024-11-13,Tier 1,Organic
443,2024-10-05,Tier 1,Google Ads
444,2024-05-06,Tier 2,Organic
445,2024-05-08,Tier 2,Organic
446,2024-02-27,Tier 3,Referral
447,2024-05-01,Tier 2,Organic
448,2024-01-01,Tier 2,Google Ads
449,2024-08-26,Tier 2,Referral
450,2024-10-16,Tier 3,Google Ads
451,2024-04-05,Tier 2,Organic
452,2024-05-05,Tier 2,Influencer
453,2024-04-27,Tier 1,Google Ads
454,2024-02-17,Tier 3,Influencer
455,2024-03-29,Tier 1,Google Ads
456,2024-08-24,Tier 3,Google Ads
457,2024-09-28,Tier 2,Google Ads
458,2024-07-07,Tier 2,
459,2024-07-10,Tier 2,Organic
460,2024-03-09,Tier 2,Google Ads
461,2024-10-04,Tier 1,Influencer
462,2024-12-14,Tier 3,Referral
463,2024-09-03,Tier 2,Organic
464,2024-03-16,Tier 1,Referral
465,2024-06-02,Tier 1,Influencer
466,2024-05-23,Tier 2,Referral
467,2024-03-26,Tier 2,Organic
468,2024-07-03,Tier 2,Influencer
469,2024-10-11,Tier 2,Google Ads
470,2024-08-07,Tier 2,Google Ads
471,2024-03-09,Tier 3,Google Ads
472,2024-02-16,Tier 2,Influencer
473,2024-04-03,Tier 3,Influencer
474,2024-08-25,Tier 1,Influencer
475,2024-07-22,Tier 2,Organic
476,2024-08-05,Tier 1,Influencer
477,2024-12-06,Tier 2,Organic
478,2024-02-08,Tier 3,Organic
479,2024-04-09,Tier 1,Google Ads
480,2024-10-15,Tier 1,Google Ads
481,2024-09-10,Tier 3,Referral
482,2024-08-09,Tier 1,Google Ads
483,2024-12-22,Tier 2,Influencer
484,2024-01-23,Tier 2,Organic
485,2024-09-06,Tier 3,Organic
486,2024-01-10,Tier 1,Influencer
487,2024-09-02,Tier 1,Organic
488,2024-11-20,Tier 2,
489,2024-04-09,Tier 3,Referral
490,2024-10-16,Tier 2,Google Ads
491,2024-06-28,Tier 1,Referral
492,2024-08-10,Tier 2,Organic
493,2024-09-06,Tier 3,Influencer
494,2024-05-26,Tier 3,Organic
495,2024-04-05,Tier 3,Google Ads
496,2024-09-13,Tier 1,Organic
497,2024-11-20,Tier 1,Google Ads
498,2024-01-04,Tier 2,Referral
499,2024-01-16,Tier 3,Influencer
500,2024-10-06,Tier 1,Referral
501,2024-12-01,Tier 1,Google Ads
502,2024-09-03,Tier 3,Influencer
503,2024-09-14,Tier 1,Google Ads
504,2024-06-08,Tier 2,Referral
505,2024-12-05,Tier 2,Referral
506,2024-05-31,Tier 2,Google Ads
507,2024-06-26,Tier 2,Influencer
508,2024-06-11,Tier 2,Organic
509,2024-02-02,Tier 2,Referral
510,2024-06-27,Tier 2,Referral
511,2024-04-10,Tier 2,Influencer
512,2024-09-24,Tier 2,Influencer
513,2024-11-18,Tier 1,Google Ads
514,2024-03-05,Tier 1,Referral
515,2024-06-16,Tier 1,Google Ads
516,2024-11-25,Tier 1,Google Ads
517,2024-02-12,Tier 2,Influencer
518,2024-02-13,Tier 3,Influencer
519,2024-10-11,Tier 2,Influencer
520,2024-01-12,Tier 3,Organic
521,2024-04-04,Tier 2,Influencer
522,2024-10-28,Tier 2,Influencer
523,2024-09-09,Tier 2,Google Ads
524,2024-08-29,Tier 1,Google Ads
525,2024-02-04,Tier 1,Influencer
526,2024-08-02,Tier 2,Referral
527,2024-12-02,Tier 3,Influencer
528,2024-03-30,Tier 1,Google Ads
529,2024-09-20,Tier 1,Referral
530,2024-04-02,Tier 3,Influencer
531,2024-03-30,Tier 1,Google Ads
532,2024-04-24,Tier 3,Influencer
533,2024-04-14,Tier 2,Google Ads
534,2024-07-14,Tier 3,Google Ads
535,2024-11-09,Tier 2,Organic
536,2024-04-23,Tier 2,Google Ads
537,2024-03-15,Tier 2,
538,2024-08-04,Tier 2,Influencer
539,2024-10-03,Tier 2,Organic
540,2024-09-05,Tier 1,Google Ads
541,2024-06-12,Tier 2,Organic
542,2024-12-22,Tier 2,Referral
543,2024-07-10,Tier 3,Influencer
544,2024-08-14,Tier 2,Referral
545,2024-06-25,Tier 2,Referral
546,2024-04-08,Tier 1,Referral
547,2024-02-05,Tier 2,Organic
548,2024-04-05,Tier 2,Referral
549,2024-05-31,Tier 3,Referral
550,2024-05-30,Tier 3,Referral
551,2024-07-08,Tier 1,Influencer
552,2024-08-11,Tier 3,Influencer
553,2024-02-06,Tier 1,Influencer
554,2024-09-24,Tier 2,Influencer
555,2024-07-01,Tier 2,Influencer
556,2024-01-13,Tier 1,Referral
557,2024-10-05,Tier 2,Organic
558,2024-08-04,Tier 1,Google Ads
559,2024-12-20,Tier 1,Influencer
560,2024-12-26,Tier 2,Organic
561,2024-10-12,Tier 2,Organic
562,2024-09-29,Tier 3,Organic
563,2024-03-02,Tier 2,
564,2024-03-24,Tier 2,Google Ads
565,2024-08-04,Tier 2,Google Ads
566,2024-12-07,Tier 1,Organic
567,2024-07-05,Tier 1,Referral
568,2024-01-19,Tier 2,Google Ads
569,2024-06-25,Tier 2,Organic
570,2024-04-09,Tier 2,Referral
571,2024-08-20,Tier 2,Referral
572,2024-03-16,Tier 2,Google Ads
573,2024-09-21,Tier 1,Referral
574,2024-10-10,Tier 1,Organic
575,2024-07-24,Tier 3,Influencer
576,2024-08-10,Tier 2,Organic
577,2024-02-21,Tier 3,Organic
578,2024-12-04,Tier 1,Influencer
579,2024-05-23,Tier 3,Referral
580,2024-03-09,Tier 1,Organic
581,2024-04-08,Tier 1,Organic
582,2024-01-25,Tier 3,Influencer
583,2024-02-22,Tier 1,Influencer
584,2024-05-30,Tier 2,Google Ads
585,2024-05-23,Tier 1,
586,2024-02-26,Tier 2,Organic
587,2024-02-08,Tier 3,Google Ads
588,2024-04-18,Tier 1,Organic
589,2024-06-29,Tier 2,Google Ads
590,2024-02-11,Tier 1,Organic
591,2024-07-04,Tier 2,Google Ads
592,2024-08-10,Tier 1,Google Ads
593,2024-05-01,Tier 1,Google Ads
594,2024-05-12,Tier 1,Organic
595,2024-06-11,Tier 1,Google Ads
596,2024-08-02,Tier 3,Influencer
597,2024-08-08,Tier 2,Google Ads
598,2024-08-22,Tier 1,Referral
599,2024-11-26,Tier 2,Google Ads
600,2024-05-25,Tier 1,Google Ads
601,2024-08-26,Tier 2,Referral
602,2024-03-16,Tier 3,Influencer
603,2024-01-09,Tier 2,Organic
604,2024-03-14,Tier 3,Organic
605,2024-09-09,Tier 2,Referral
606,2024-08-17,Tier 1,Influencer
607,2024-01-07,Tier 2,Influencer
608,2024-06-22,Tier 2,Google Ads
609,2024-05-20,Tier 2,Google Ads
610,2024-06-16,Tier 3,Referral
611,2024-06-18,Tier 2,Referral
612,2024-10-09,Tier 3,
613,2024-05-01,Tier 3,Influencer
614,2024-07-12,Tier 2,Referral
615,2024-01-05,Tier 2,Google Ads
616,2024-01-29,Tier 1,Google Ads
617,2024-06-13,Tier 3,Referral
618,2024-12-04,Tier 2,Google Ads
619,2024-05-15,Tier 1,Google Ads
620,2024-12-30,Tier 1,Organic
621,2024-11-16,Tier 2,Organic
622,2024-12-07,Tier 1,Google Ads
623,2024-05-24,Tier 1,Influencer
624,2024-11-22,Tier 2,Organic
625,2024-08-04,Tier 1,Google Ads
626,2024-10-27,Tier 2,Google Ads
627,2024-05-11,Tier 1,Organic
628,2024-10-18,Tier 1,Influencer
629,2024-03-10,Tier 2,Influencer
630,2024-09-08,Tier 2,Organic
631,2024-10-01,Tier 1,Referral
632,2024-12-29,Tier 1,Google Ads
633,2024-06-30,Tier 2,Influencer
634,2024-06-15,Tier 1,Google Ads
635,2024-03-31,Tier 1,Organic
636,2024-07-20,Tier 1,Referral
637,2024-12-11,Tier 3,Influencer
638,2024-01-19,Tier 3,Organic
639,2024-02-08,Tier 3,Referral
640,2024-05-05,Tier 2,Organic
641,2024-06-21,Tier 2,Influencer
642,2024-05-20,Tier 2,Organic
643,2024-08-29,Tier 2,Influencer
644,2024-08-07,Tier 1,Google Ads
645,2024-05-05,Tier 2,Google Ads
646,2024-02-27,Tier 3,Influencer
647,2024-05-27,Tier 2,Influencer
648,2024-11-12,Tier 2,Referral
649,2024-12-26,Tier 1,Organic
650,2024-01-01,Tier 2,Google Ads
651,2024-12-13,Tier 2,Google Ads
652,2024-07-08,Tier 3,Google Ads
653,2024-07-09,Tier 1,Referral
654,2024-11-07,Tier 3,Organic
655,2024-04-26,Tier 2,Referral
656,2024-05-13,Tier 3,Referral
657,2024-02-27,Tier 2,Organic
658,2024-02-13,Tier 2,Referral
659,2024-06-21,Tier 2,Referral
660,2024-06-08,Tier 2,Referral
661,2024-06-21,Tier 3,Organic
662,2024-11-12,Tier 1,Referral
663,2024-10-29,Tier 1,Organic
664,2024-05-28,Tier 3,Google Ads
665,2024-03-20,Tier 2,Influencer
666,2024-07-31,Tier 2,Referral
667,2024-07-21,Tier 2,Organic
668,2024-09-08,Tier 1,Referral
669,2024-08-16,Tier 3,Influencer
670,2024-06-12,Tier 2,Organic
671,2024-08-14,Tier 1,Influencer
672,2024-05-26,Tier 1,Referral
673,2024-01-20,Tier 3,Influencer
674,2024-02-16,Tier 1,Organic
675,2024-08-20,Tier 3,Organic
676,2024-10-31,Tier 1,Influencer
677,2024-01-14,Tier 2,Google Ads
678,2024-05-22,Tier 3,Organic
679,2024-01-01,Tier 2,Referral
680,2024-02-23,Tier 2,Organic
681,2024-09-15,Tier 2,Influencer
682,2024-05-23,Tier 1,Referral
683,2024-01-12,Tier 1,Influencer
684,2024-11-25,Tier 3,Influencer
685,2024-08-11,Tier 3,Organic
686,2024-09-28,Tier 2,Google Ads
687,2024-12-23,Tier 2,Influencer
688,2024-06-04,Tier 1,Google Ads
689,2024-01-08,Tier 1,Influencer
690,2024-05-01,Tier 2,Referral
691,2024-12-13,Tier 3,Organic
692,2024-06-12,Tier 2,Influencer
693,2024-03-30,Tier 3,Organic
694,2024-05-15,Tier 1,Organic
695,2024-07-04,Tier 2,Referral
696,2024-11-11,Tier 1,Influencer
697,2024-06-26,Tier 2,Google Ads
698,2024-01-28,Tier 1,Organic
699,2024-08-07,Tier 3,Google Ads
700,2024-12-22,Tier 1,Google Ads
701,2024-02-10,Tier 3,Google Ads
702,2024-08-15,Tier 2,Organic
703,2024-07-10,Tier 3,Referral
704,2024-05-24,Tier 2,Influencer
705,2024-07-19,Tier 3,Google Ads
706,2024-07-30,Tier 1,Organic
707,2024-08-07,Tier 2,Influencer
708,2024-08-27,Tier 3,Referral
