user_id,plan_type,monthly_fee,status,churn_date
100,Premium,199,Churned,2024-09-08
101,Free,0,Active,
102,Free,0,Active,
103,Free,0,Active,
104,Basic,99,Active,
105,Basic,99,Active,
106,Premium,199,Churned,2024-12-20
107,Basic,99,Active,
108,Free,0,Active,
109,Free,0,Active,
110,Premium,199,Churned,2024-09-25
111,Basic,99,Active,
112,Premium,199,Active,
113,Family,299,Active,
114,Free,0,Active,
115,Basic,99,Active,
116,Basic,99,Churned,2024-09-05
117,Free,0,Active,
118,Free,0,Active,
119,Premium,199,Active,
120,Basic,99,Active,
121,Basic,99,Active,
122,Basic,99,Churned,2025-08-22
123,Premium,199,Active,
124,Free,0,Active,
125,Basic,99,Churned,2025-03-09
126,Free,0,Active,
127,Premium,199,Active,
128,Basic,99,Active,
129,Family,299,Active,
130,Free,0,Active,
131,Family,299,Active,
132,Premium,199,Active,
133,Basic,99,Active,
134,Free,0,Active,
135,Free,0,Active,
136,Premium,199,Active,
137,Basic,99,Churned,2024-10-09
138,Free,0,Active,
139,Basic,99,Churned,2024-08-26
140,Basic,99,Active,
141,Free,0,Active,
142,Free,0,Active,
143,Free,0,Active,
144,Free,0,Active,
145,Free,0,Active,
146,Premium,199,Active,
147,Free,0,Active,
148,Free,0,Active,
149,Free,0,Active,
150,Family,299,Active,
151,Free,0,Active,
152,Family,299,Active,
153,Free,0,Active,
154,Free,0,Active,
155,Basic,99,Active,
156,Basic,99,Active,
157,Premium,199,Active,
158,Premium,199,Active,
159,Free,0,Active,
160,Basic,99,Active,
161,Basic,99,Active,
162,Premium,199,Churned,2024-08-14
163,Free,0,Active,
164,Free,0,Active,
165,Basic,99,Churned,2024-04-08
166,Family,299,Active,
167,Free,0,Active,
168,Free,0,Active,
169,Free,0,Active,
170,Premium,199,Active,
171,Free,0,Active,
172,Free,0,Churned,2025-05-14
173,Basic,99,Active,
174,Free,0,Active,
175,Free,0,Active,
176,Free,0,Active,
177,Free,0,Active,
178,Free,0,Active,
179,Free,0,Active,
180,Free,0,Active,
181,Premium,199,Active,
182,Free,0,Active,
183,Basic,99,Active,
184,Free,0,Active,
185,Free,0,Active,
186,Premium,199,Active,
187,Free,0,Active,
188,Free,0,Active,
189,Premium,199,Active,
190,Basic,99,Churned,2025-01-27
191,Premium,199,Active,
192,Basic,99,Active,
193,Free,0,Active,
194,Family,299,Active,
195,Premium,199,Active,
196,Free,0,Active,
197,Premium,199,Active,
198,Free,0,Active,
199,Basic,99,Active,
200,Free,0,Active,
201,Basic,99,Churned,2024-12-22
202,Free,0,Churned,2024-09-25
203,Basic,99,Active,
204,Free,0,Active,
205,Free,0,Active,
206,Basic,99,Active,
207,Premium,199,Active,
208,Free,0,Active,
209,Premium,199,Churned,2025-02-10
210,Free,0,Active,
211,Premium,199,Active,
212,Basic,99,Active,
213,Premium,199,Active,
214,Basic,99,Active,
215,Basic,99,Churned,2024-08-28
216,Free,0,Active,
217,Family,299,Active,
218,Premium,199,Churned,2024-10-16
219,Free,0,Active,
220,Free,0,Active,
221,Premium,199,Active,
222,Family,299,Active,
223,Free,0,Active,
224,Premium,199,Churned,2025-03-30
225,Free,0,Active,
226,Family,299,Active,
227,Basic,99,Active,
228,Free,0,Active,
229,Free,0,Active,
230,Basic,99,Active,
231,Basic,99,Active,
232,Premium,199,Active,
233,Premium,199,Active,
234,Basic,99,Active,
235,Premium,199,Active,
236,Basic,99,Active,
237,Premium,199,Active,
238,Premium,199,Active,
239,Premium,199,Active,
240,Free,0,Active,
241,Basic,99,Churned,2024-11-03
242,Free,0,Active,
243,Free,0,Active,
244,Free,0,Active,
245,Premium,199,Active,
246,Free,0,Active,
247,Free,0,Active,
248,Free,0,Active,
249,Free,0,Active,
250,Basic,99,Active,
251,Free,0,Active,
252,Free,0,Churned,2025-06-14
253,Basic,99,Churned,2025-01-02
254,Free,0,Active,
255,Free,0,Active,
256,Premium,199,Active,
257,Premium,199,Active,
258,Free,0,Active,
259,Free,0,Active,
260,Family,299,Active,
261,Free,0,Active,
262,Basic,99,Active,
263,Basic,99,Active,
264,Premium,199,Active,
265,Family,299,Churned,2024-12-30
266,Free,0,Active,
267,Free,0,Churned,2024-10-07
268,Basic,99,Churned,2024-06-06
269,Family,299,Active,
270,Premium,199,Active,
271,Basic,99,Active,
272,Premium,199,Active,
273,Free,0,Active,
274,Free,0,Active,
275,Free,0,Active,
276,Free,0,Active,
277,Basic,99,Active,
278,Premium,199,Active,
279,Basic,99,Active,
280,Basic,99,Churned,2024-09-27
281,Free,0,Active,
282,Basic,99,Active,
283,Free,0,Active,
284,Basic,99,Active,
285,Free,0,Active,
286,Basic,99,Churned,2025-01-01
287,Free,0,Active,
288,Basic,99,Active,
289,Free,0,Active,
290,Free,0,Churned,2024-10-13
291,Free,0,Active,
292,Basic,99,Active,
293,Basic,99,Active,
294,Premium,199,Active,
295,Basic,99,Active,
296,Free,0,Active,
297,Premium,199,Active,
298,Free,0,Active,
299,Free,0,Active,
300,Basic,99,Active,
301,Free,0,Active,
302,Free,0,Active,
303,Premium,199,Active,
304,Premium,199,Active,
305,Premium,199,Active,
306,Free,0,Active,
307,Premium,199,Active,
308,Basic,99,Active,
309,Premium,199,Active,
310,Basic,99,Churned,2025-01-29
311,Basic,99,Active,
312,Free,0,Active,
313,Basic,99,Active,
314,Basic,99,Active,
315,Free,0,Active,
316,Basic,99,Active,
317,Basic,99,Active,
318,Basic,99,Active,
319,Free,0,Active,
320,Free,0,Active,
321,Free,0,Active,
322,Premium,199,Churned,2024-11-22
323,Free,0,Active,
324,Free,0,Active,
325,Family,299,Active,
326,Free,0,Active,
327,Basic,99,Active,
328,Premium,199,Active,
329,Basic,99,Active,
330,Premium,199,Active,
331,Family,299,Active,
332,Premium,199,Active,
333,Basic,99,Active,
334,Free,0,Active,
335,Free,0,Active,
336,Premium,199,Active,
337,Premium,199,Active,
338,Premium,199,Active,
339,Basic,99,Active,
340,Free,0,Churned,2025-04-30
341,Free,0,Active,
342,Free,0,Active,
343,Premium,199,Active,
344,Free,0,Active,
345,Free,0,Active,
346,Premium,199,Churned,2025-03-13
347,Free,0,Active,
348,Premium,199,Active,
349,Free,0,Active,
350,Family,299,Active,
351,Free,0,Active,
352,Free,0,Active,
353,Basic,99,Active,
354,Premium,199,Active,
355,Free,0,Churned,2025-02-03
356,Basic,99,Active,
357,Family,299,Active,
358,Free,0,Active,
359,Premium,199,Active,
360,Free,0,Active,
361,Free,0,Active,
362,Free,0,Active,
363,Free,0,Active,
364,Free,0,Active,
365,Free,0,Active,
366,Free,0,Active,
367,Basic,99,Active,
368,Basic,99,Active,
369,Basic,99,Active,
370,Free,0,Active,
371,Family,299,Active,
372,Free,0,Active,
373,Free,0,Active,
374,Basic,99,Active,
375,Basic,99,Active,
376,Free,0,Active,
377,Free,0,Active,
378,Premium,199,Active,
379,Basic,99,Active,
380,Free,0,Active,
381,Family,299,Active,
382,Free,0,Active,
383,Basic,99,Churned,2024-08-05
384,Free,0,Active,
385,Free,0,Active,
386,Free,0,Churned,2025-07-24
387,Basic,99,Active,
388,Free,0,Active,
389,Basic,99,Active,
390,Family,299,Active,
391,Premium,199,Active,
392,Free,0,Active,
393,Free,0,Active,
394,Free,0,Active,
395,Free,0,Active,
396,Family,299,Active,
397,Family,299,Active,
398,Free,0,Churned,2024-08-05
399,Free,0,Active,
400,Premium,199,Active,
401,Premium,199,Active,
402,Basic,99,Active,
403,Free,0,Active,
404,Free,0,Active,
405,Premium,199,Active,
406,Free,0,Churned,2025-04-13
407,Premium,199,Active,
408,Free,0,Active,
409,Premium,199,Active,
410,Basic,99,Churned,2025-06-01
411,Free,0,Active,
412,Free,0,Active,
413,Basic,99,Active,
414,Free,0,Active,
415,Basic,99,Active,
416,Free,0,Active,
417,Free,0,Active,
418,Basic,99,Active,
419,Basic,99,Active,
420,Free,0,Active,
421,Free,0,Active,
422,Basic,99,Active,
423,Basic,99,Active,
424,Free,0,Churned,2025-09-14
425,Free,0,Active,
426,Free,0,Active,
427,Basic,99,Churned,2024-07-24
428,Basic,99,Active,
429,Free,0,Active,
430,Premium,199,Churned,2024-11-21
431,Free,0,Active,
432,Basic,99,Churned,2025-01-21
433,Free,0,Active,
434,Basic,99,Active,
435,Basic,99,Active,
436,Premium,199,Churned,2025-04-03
437,Premium,199,Active,
438,Premium,199,Active,
439,Premium,199,Active,
440,Free,0,Active,
441,Free,0,Active,
442,Family,299,Active,
443,Premium,199,Active,
444,Basic,99,Active,
445,Free,0,Active,
446,Premium,199,Active,
447,Free,0,Active,
448,Free,0,Active,
449,Basic,99,Active,
450,Free,0,Active,
451,Free,0,Active,
452,Premium,199,Active,
453,Free,0,Active,
454,Family,299,Active,
455,Family,299,Active,
456,Premium,199,Active,
457,Family,299,Active,
458,Basic,99,Active,
459,Basic,99,Active,
460,Premium,199,Active,
461,Free,0,Active,
462,Free,0,Active,
463,Basic,99,Active,
464,Basic,99,Active,
465,Premium,199,Churned,2024-08-24
466,Basic,99,Active,
467,Basic,99,Churned,2024-12-06
468,Basic,99,Active,
469,Free,0,Active,
470,Free,0,Active,
471,Premium,199,Active,
472,Free,0,Active,
473,Family,299,Active,
474,Premium,199,Active,
475,Basic,99,Active,
476,Family,299,Active,
477,Basic,99,Active,
478,Free,0,Active,
479,Basic,99,Active,
480,Free,0,Active,
481,Free,0,Active,
482,Free,0,Active,
483,Premium,199,Active,
484,Basic,99,Churned,2024-09-25
485,Free,0,Active,
486,Free,0,Active,
487,Basic,99,Active,
488,Free,0,Active,
489,Free,0,Active,
490,Premium,199,Active,
491,Free,0,Active,
492,Free,0,Active,
493,Free,0,Active,
494,Basic,99,Active,
495,Premium,199,Active,
496,Family,299,Active,
497,Basic,99,Active,
498,Free,0,Active,
499,Free,0,Active,
500,Free,0,Active,
501,Basic,99,Active,
502,Basic,99,Active,
503,Basic,99,Active,
504,Free,0,Churned,2024-08-30
505,Free,0,Active,
506,Free,0,Active,
507,Premium,199,Active,
508,Free,0,Active,
509,Basic,99,Active,
510,Free,0,Active,
511,Basic,99,Churned,2024-08-08
512,Free,0,Active,
513,Free,0,Active,
514,Free,0,Active,
515,Free,0,Active,
516,Free,0,Churned,2025-01-17
517,Premium,199,Active,
518,Free,0,Active,
519,Free,0,Active,
520,Basic,99,Active,
521,Basic,99,Active,
522,Free,0,Active,
523,Basic,99,Active,
524,Premium,199,Churned,2024-12-31
525,Free,0,Active,
526,Basic,99,Active,
527,Free,0,Active,
528,Free,0,Active,
529,Family,299,Active,
530,Free,0,Active,
531,Free,0,Active,
532,Family,299,Active,
533,Basic,99,Active,
534,Basic,99,Active,
535,Basic,99,Active,
536,Basic,99,Active,
537,Premium,199,Active,
538,Free,0,Active,
539,Free,0,Active,
540,Free,0,Churned,2025-06-24
541,Free,0,Active,
542,Free,0,Active,
543,Basic,99,Active,
544,Free,0,Active,
545,Free,0,Active,
546,Basic,99,Churned,2024-09-07
547,Basic,99,Active,
548,Premium,199,Active,
549,Premium,199,Active,
550,Family,299,Active,
551,Basic,99,Churned,2024-10-11
552,Basic,99,Active,
553,Premium,199,Active,
554,Premium,199,Active,
555,Basic,99,Active,
556,Basic,99,Active,
557,Free,0,Active,
558,Premium,199,Active,
559,Premium,199,Active,
560,Premium,199,Active,
561,Free,0,Active,
562,Free,0,Active,
563,Free,0,Active,
564,Premium,199,Active,
565,Premium,199,Active,
566,Free,0,Active,
567,Basic,99,Active,
568,Free,0,Active,
569,Free,0,Active,
570,Free,0,Active,
571,Premium,199,Active,
572,Premium,199,Active,
573,Free,0,Active,
574,Basic,99,Active,
575,Basic,99,Active,
576,Free,0,Active,
577,Family,299,Churned,2024-11-01
578,Premium,199,Active,
579,Free,0,Active,
580,Basic,99,Active,
581,Free,0,Active,
582,Basic,99,Active,
583,Basic,99,Active,
584,Free,0,Active,
585,Premium,199,Churned,2024-12-19
586,Basic,99,Churned,2024-07-23
587,Family,299,Active,
588,Free,0,Active,
589,Premium,199,Churned,2025-01-23
590,Premium,199,Active,
591,Free,0,Active,
592,Free,0,Active,
593,Premium,199,Active,
594,Basic,99,Active,
595,Free,0,Active,
596,Premium,199,Active,
597,Free,0,Active,
598,Free,0,Active,
599,Basic,99,Churned,2025-05-18
600,Basic,99,Active,
601,Free,0,Active,
602,Basic,99,Active,
603,Basic,99,Active,
604,Basic,99,Active,
605,Basic,99,Active,
606,Free,0,Active,
607,Premium,199,Active,
608,Free,0,Active,
609,Family,299,Active,
610,Free,0,Active,
611,Free,0,Active,
612,Free,0,Active,
613,Basic,99,Active,
614,Free,0,Active,
615,Basic,99,Active,
616,Premium,199,Active,
617,Free,0,Active,
618,Free,0,Active,
619,Premium,199,Active,
620,Free,0,Active,
621,Free,0,Active,
622,Free,0,Active,
623,Free,0,Active,
624,Free,0,Active,
625,Basic,99,Active,
626,Free,0,Active,
627,Premium,199,Active,
628,Free,0,Active,
629,Basic,99,Active,
630,Free,0,Active,
631,Family,299,Active,
632,Basic,99,Active,
633,Free,0,Active,
634,Free,0,Active,
635,Free,0,Active,
636,Free,0,Active,
637,Basic,99,Active,
638,Free,0,Active,
639,Family,299,Active,
640,Free,0,Active,
641,Premium,199,Active,
642,Free,0,Active,
643,Free,0,Active,
644,Family,299,Active,
645,Premium,199,Active,
646,Basic,99,Active,
647,Basic,99,Active,
648,Family,299,Active,
649,Basic,99,Active,
650,Free,0,Active,
651,Free,0,Active,
652,Basic,99,Active,
653,Basic,99,Active,
654,Basic,99,Active,
655,Free,0,Active,
656,Family,299,Active,
657,Basic,99,Active,
658,Basic,99,Active,
659,Free,0,Active,
660,Family,299,Active,
661,Basic,99,Active,
662,Basic,99,Active,
663,Family,299,Active,
664,Premium,199,Active,
665,Free,0,Active,
666,Family,299,Active,
667,Basic,99,Active,
668,Free,0,Active,
669,Free,0,Active,
670,Free,0,Active,
671,Basic,99,Active,
672,Basic,99,Active,
673,Free,0,Active,
674,Premium,199,Active,
675,Premium,199,Active,
676,Basic,99,Active,
677,Premium,199,Active,
678,Premium,199,Active,
679,Free,0,Active,
680,Premium,199,Active,
681,Family,299,Active,
682,Free,0,Active,
683,Family,299,Active,
684,Free,0,Active,
685,Basic,99,Active,
686,Premium,199,Active,
687,Premium,199,Active,
688,Basic,99,Active,
689,Basic,99,Active,
690,Basic,99,Active,
691,Basic,99,Active,
692,Free,0,Active,
693,Basic,99,Active,
694,Premium,199,Active,
695,Free,0,Active,
696,Basic,99,Active,
697,Free,0,Active,
698,Basic,99,Churned,2024-07-19
699,Free,0,Active,
700,Free,0,Active,
701,Free,0,Active,
702,Free,0,Active,
703,Free,0,Active,
704,Free,0,Active,
705,Free,0,Active,
706,Free,0,Churned,2024-10-23
707,Family,299,Active,
708,Free,0,Active,
709,Premium,199,Active,
710,Basic,99,Active,
711,Free,0,Active,
712,Free,0,Active,
713,Family,299,Active,
714,Basic,99,Active,
715,Free,0,Active,
716,Free,0,Active,
717,Free,0,Active,
718,Premium,199,Active,
719,Premium,199,Active,
720,Free,0,Active,
721,Free,0,Churned,2025-10-23
722,Free,0,Active,
723,Family,299,Active,
724,Basic,99,Active,
725,Premium,199,Active,
726,Free,0,Active,
727,Basic,99,Active,
728,Free,0,Active,
729,Premium,199,Active,
730,Free,0,Active,
731,Premium,199,Active,
732,Free,0,Active,
733,Basic,99,Active,
734,Free,0,Active,
735,Free,0,Active,
736,Free,0,Active,
737,Basic,99,Active,
738,Free,0,Active,
739,Free,0,Active,
740,Free,0,Active,
741,Free,0,Active,
742,Free,0,Active,
743,Free,0,Active,
744,Free,0,Active,
745,Free,0,Active,
746,Premium,199,Churned,2024-10-09
747,Free,0,Active,
748,Basic,99,Active,
749,Free,0,Active,
750,Family,299,Active,
751,Free,0,Active,
752,Premium,199,Active,
753,Free,0,Active,
754,Free,0,Active,
755,Free,0,Active,
756,Free,0,Active,
757,Free,0,Active,
758,Free,0,Active,
759,Premium,199,Active,
760,Free,0,Active,
761,Free,0,Active,
762,Premium,199,Active,
763,Premium,199,Active,
764,Free,0,Active,
765,Basic,99,Churned,2025-07-12
766,Free,0,Active,
767,Free,0,Active,
768,Free,0,Churned,2024-04-26
769,Free,0,Active,
770,Free,0,Active,
771,Free,0,Active,
772,Free,0,Churned,2024-07-09
773,Basic,99,Active,
774,Basic,99,Churned,2025-05-22
775,Basic,99,Active,
776,Basic,99,Active,
777,Premium,199,Active,
778,Premium,199,Active,
779,Premium,199,Active,
780,Free,0,Active,
781,Free,0,Active,
782,Basic,99,Churned,2025-06-20
783,Free,0,Active,
784,Free,0,Active,
785,Free,0,Active,
786,Family,299,Active,
787,Free,0,Active,
788,Free,0,Active,
789,Free,0,Active,
790,Basic,99,Active,
791,Free,0,Active,
792,Free,0,Active,
793,Family,299,Active,
794,Premium,199,Active,
795,Basic,99,Active,
796,Family,299,Active,
797,Free,0,Active,
798,Basic,99,Active,
799,Free,0,Active,
800,Basic,99,Churned,2025-03-11
801,Free,0,Active,
802,Free,0,Active,
803,Free,0,Active,
804,Free,0,Active,
805,Free,0,Active,
806,Basic,99,Active,
807,Basic,99,Active,
808,Free,0,Active,
809,Free,0,Active,
810,Basic,99,Active,
811,Basic,99,Active,
812,Free,0,Active,
813,Basic,99,Churned,2025-01-06
814,Premium,199,Active,
815,Free,0,Active,
816,Free,0,Active,
817,Free,0,Active,
818,Premium,199,Active,
819,Free,0,Active,
820,Free,0,Active,
821,Premium,199,Active,
822,Free,0,Active,
823,Basic,99,Active,
824,Free,0,Active,
825,Family,299,Active,
826,Premium,199,Active,
827,Basic,99,Churned,2024-09-24
828,Free,0,Active,
829,Free,0,Active,
830,Basic,99,Active,
831,Free,0,Active,
832,Basic,99,Active,
833,Basic,99,Active,
834,Premium,199,Active,
835,Free,0,Active,
836,Basic,99,Active,
837,Premium,199,Active,
838,Free,0,Active,
839,Premium,199,Active,
840,Free,0,Active,
841,Basic,99,Active,
842,Family,299,Active,
843,Free,0,Active,
844,Free,0,Active,
845,Free,0,Active,
846,Basic,99,Active,
847,Basic,99,Active,
848,Free,0,Active,
849,Premium,199,Active,
850,Premium,199,Active,
851,Premium,199,Active,
852,Basic,99,Active,
853,Free,0,Active,
854,Premium,199,Active,
855,Free,0,Active,
856,Basic,99,Churned,2024-09-04
857,Basic,99,Active,
858,Free,0,Active,
859,Free,0,Active,
860,Free,0,Active,
861,Free,0,Active,
862,Free,0,Active,
863,Premium,199,Active,
864,Free,0,Active,
865,Free,0,Active,
866,Free,0,Active,
867,Free,0,Active,
868,Free,0,Churned,2024-08-23
869,Free,0,Active,
870,Free,0,Active,
871,Free,0,Churned,2025-09-08
872,Free,0,Active,
873,Premium,199,Churned,2024-10-19
874,Free,0,Churned,2025-03-17
875,Free,0,Active,
876,Family,299,Active,
877,Basic,99,Active,
878,Free,0,Active,
879,Free,0,Active,
880,Basic,99,Active,
881,Basic,99,Active,
882,Free,0,Active,
883,Free,0,Active,
884,Premium,199,Active,
885,Basic,99,Active,
886,Free,0,Active,
887,Free,0,Active,
888,Free,0,Active,
889,Free,0,Active,
890,Premium,199,Active,
891,Free,0,Active,
892,Family,299,Active,
893,Free,0,Active,
894,Free,0,Active,
895,Free,0,Active,
896,Basic,99,Active,
897,Free,0,Active,
898,Basic,99,Active,
899,Basic,99,Churned,2024-10-06
900,Free,0,Active,
901,Basic,99,Active,
902,Free,0,Active,
903,Basic,99,Active,
904,Free,0,Active,
905,Free,0,Active,
906,Premium,199,Active,
907,Free,0,Active,
908,Family,299,Active,
909,Premium,199,Active,
910,Free,0,Active,
911,Free,0,Active,
912,Premium,199,Active,
913,Premium,199,Active,
914,Free,0,Active,
915,Premium,199,Churned,2024-07-27
916,Premium,199,Active,
917,Free,0,Active,
918,Premium,199,Active,
919,Free,0,Active,
920,Basic,99,Active,
921,Free,0,Active,
922,Free,0,Churned,2024-10-29
923,Basic,99,Active,
924,Free,0,Active,
925,Basic,99,Active,
926,Premium,199,Active,
927,Free,0,Active,
928,Free,0,Active,
929,Basic,99,Active,
930,Free,0,Active,
931,Premium,199,Active,
932,Free,0,Active,
933,Basic,99,Active,
934,Free,0,Active,
935,Free,0,Active,
936,Free,0,Active,
937,Free,0,Active,
938,Free,0,Active,
939,Basic,99,Active,
940,Free,0,Active,
941,Free,0,Active,
942,Free,0,Active,
943,Premium,199,Active,
944,Basic,99,Active,
945,Free,0,Active,
946,Premium,199,Active,
947,Premium,199,Active,
948,Free,0,Active,
949,Basic,99,Churned,2024-06-13
950,Free,0,Active,
951,Family,299,Active,
952,Basic,99,Active,
953,Family,299,Active,
954,Free,0,Active,
955,Free,0,Active,
956,Premium,199,Active,
957,Premium,199,Active,
958,Basic,99,Active,
959,Premium,199,Active,
960,Basic,99,Active,
961,Basic,99,Active,
962,Free,0,Active,
963,Free,0,Active,
964,Free,0,Active,
965,Basic,99,Active,
966,Free,0,Active,
967,Free,0,Active,
968,Free,0,Active,
969,Premium,199,Churned,2025-05-28
970,Free,0,Active,
971,Free,0,Active,
972,Free,0,Active,
973,Free,0,Active,
974,Free,0,Active,
975,Free,0,Active,
976,Free,0,Active,
977,Premium,199,Active,
978,Premium,199,Churned,2025-09-05
979,Free,0,Active,
980,Basic,99,Active,
981,Basic,99,Active,
982,Basic,99,Churned,2025-02-03
983,Free,0,Active,
984,Free,0,Active,
985,Basic,99,Active,
986,Free,0,Active,
987,Free,0,Active,
988,Free,0,Active,
989,Premium,199,Active,
990,Free,0,Active,
991,Free,0,Active,
992,Premium,199,Active,
993,Premium,199,Active,
994,Free,0,Active,
995,Free,0,Active,
996,Basic,99,Active,
997,Free,0,Active,
998,Basic,99,Active,
999,Premium,199,Active,
1000,Free,0,Active,
1001,Free,0,Active,
1002,Free,0,Active,
1003,Basic,99,Active,
1004,Free,0,Churned,2024-09-22
1005,Free,0,Active,
1006,Free,0,Churned,2024-09-16
1007,Free,0,Active,
1008,Basic,99,Active,
1009,Free,0,Active,
1010,Basic,99,Churned,2024-08-26
1011,Free,0,Active,
1012,Free,0,Active,
1013,Premium,199,Active,
1014,Basic,99,Active,
1015,Premium,199,Active,
1016,Free,0,Active,
1017,Free,0,Active,
1018,Basic,99,Active,
1019,Premium,199,Active,
1020,Premium,199,Active,
1021,Premium,199,Active,
1022,Free,0,Active,
1023,Premium,199,Active,
1024,Premium,199,Active,
1025,Free,0,Active,
1026,Free,0,Active,
1027,Basic,99,Churned,2025-05-13
1028,Free,0,Active,
1029,Basic,99,Active,
1030,Premium,199,Active,
1031,Premium,199,Active,
1032,Family,299,Active,
1033,Free,0,Active,
1034,Free,0,Active,
1035,Basic,99,Active,
1036,Free,0,Active,
1037,Free,0,Active,
1038,Basic,99,Active,
1039,Free,0,Active,
1040,Free,0,Active,
1041,Free,0,Active,
1042,Family,299,Active,
1043,Free,0,Active,
1044,Free,0,Active,
1045,Family,299,Active,
1046,Free,0,Active,
1047,Free,0,Active,
1048,Basic,99,Active,
1049,Free,0,Active,
1050,Free,0,Active,
1051,Premium,199,Churned,2025-01-24
1052,Free,0,Active,
1053,Basic,99,Active,
1054,Basic,99,Churned,2024-11-16
1055,Free,0,Active,
1056,Basic,99,Churned,2024-12-25
1057,Free,0,Active,
1058,Free,0,Active,
1059,Basic,99,Active,
1060,Free,0,Active,
1061,Basic,99,Active,
1062,Free,0,Active,
1063,Free,0,Active,
1064,Basic,99,Active,
1065,Free,0,Active,
1066,Premium,199,Active,
1067,Basic,99,Active,
1068,Family,299,Active,
1069,Free,0,Active,
1070,Family,299,Active,
1071,Basic,99,Churned,2025-01-09
1072,Basic,99,Active,
1073,Premium,199,Active,
1074,Basic,99,Churned,2024-05-28
1075,Premium,199,Active,
1076,Basic,99,Active,
1077,Basic,99,Churned,2024-10-30
1078,Free,0,Active,
1079,Free,0,Active,
1080,Basic,99,Active,
1081,Family,299,Active,
1082,Premium,199,Active,
1083,Basic,99,Churned,2025-02-20
1084,Basic,99,Active,
1085,Free,0,Active,
1086,Free,0,Active,
1087,Free,0,Active,
1088,Free,0,Churned,2025-02-04
1089,Basic,99,Active,
1090,Premium,199,Churned,2024-12-06
1091,Free,0,Active,
1092,Free,0,Active,
1093,Free,0,Active,
1094,Free,0,Active,
1095,Free,0,Active,
1096,Free,0,Active,
1097,Free,0,Active,
1098,Premium,199,Active,
1099,Free,0,Active,
1100,Premium,199,Active,
1101,Basic,99,Active,
1102,Free,0,Active,
1103,Premium,199,Active,
1104,Basic,99,Active,
1105,Free,0,Active,
1106,Free,0,Active,
1107,Premium,199,Active,
1108,Free,0,Active,
1109,Free,0,Active,
1110,Free,0,Active,
1111,Free,0,Active,
1112,Premium,199,Active,
1113,Premium,199,Active,
1114,Basic,99,Active,
1115,Free,0,Active,
1116,Family,299,Active,
1117,Basic,99,Active,
1118,Premium,199,Churned,2025-03-04
1119,Free,0,Active,
1120,Free,0,Active,
1121,Premium,199,Active,
1122,Free,0,Active,
1123,Basic,99,Active,
1124,Basic,99,Active,
1125,Free,0,Active,
1126,Premium,199,Active,
1127,Free,0,Active,
1128,Basic,99,Active,
1129,Family,299,Active,
1130,Family,299,Active,
1131,Premium,199,Active,
1132,Basic,99,Active,
1133,Basic,99,Active,
1134,Basic,99,Active,
1135,Free,0,Active,
1136,Free,0,Active,
1137,Basic,99,Active,
1138,Free,0,Active,
1139,Premium,199,Active,
1140,Free,0,Active,
1141,Free,0,Active,
1142,Free,0,Active,
